KEY,SPEAKER,SENTENCE,SHOW,SARCASM,SENTIMENT_IMPLICIT,SENTIMENT_EXPLICIT,EMOTION_IMPLICIT,EMOTION_EXPLICIT
2_573,ROSS,"Oh, that's me.",FRIENDS,True,0,0,8,8
2_573,RACHEL,Wow! Certainly think a lot of yourself.,FRIENDS,True,-1,1,8,8
2_573,ROSS,"No, that's my arm.",FRIENDS,True,1,1,8,8
2_573,CHANDLER,"Oh I see, I thought you just really really liked your new couch.",FRIENDS,True,-1,1,8,8
,,,,,,,,
2_574,CHANDLER,Pickin up wedding dresses. Wapah.,FRIENDS,False,1,1,7,7
2_574,ROSS,Whats wapah,FRIENDS,False,0,0,5,5
2_574,CHANDLER,"You now, whipped. Wapah",FRIENDS,False,1,1,7,7
2_574,JOEY,That's not whipped,FRIENDS,False,1,1,7,7
2_574,CHANDLER,"That's what I did, wapah.",FRIENDS,False,1,1,7,7
2_574,JOEY,You can't do anything.,FRIENDS,False,-1,-1,2,2
,,,,,,,,
2_575,JOEY,Wow! This girl is good.,FRIENDS,True,1,1,7,7
2_575,PHOEBE,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",FRIENDS,True,-1,1,1,7
2_575,CHANDLER,I like her.,FRIENDS,True,1,1,7,7
2_575,PHOEBE,Why? Because she can sing and play guitar and do both at the same time?,FRIENDS,True,-1,1,1,7
,,,,,,,,
2_576,RACHEL,"Oh Monica, we are so sorry.",FRIENDS,False,-1,-1,4,4
2_576,MONICA,For what?,FRIENDS,False,0,0,5,5
2_576,RACHEL,"Well first, for forgetting to throw you a bridal shower.",FRIENDS,False,-1,-1,4,4
2_576,PHOEBE,And then for forgetting to invite you to it.,FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_577,RACHEL,It's one more thing in my life that's suddenly completely different. This is hard.,FRIENDS,False,-1,-1,4,4
2_577,ROSS,Yeah I know.,FRIENDS,False,-1,-1,4,4
2_577,ROSS,"On the other hand in um, in about seven months you're gonna have something that you're gonna love more than any guy you've ever gone out with.",FRIENDS,False,1,1,8,8
,,,,,,,,
2_579,ROSS,"One, two, three, four! You know the song! Sing along! So?",FRIENDS,False,1,1,2,2
2_579,MONICA,No!,FRIENDS,False,-1,-1,9,9
,,,,,,,,
2_58,PERSON,Welcome back!,FRIENDS,False,1,1,7,7
2_58,PHOEBE,Hey!  Can we pick up where we left off?,FRIENDS,False,1,1,7,7
2_58,PERSON,"I don't know, I'm still pretty tired out from this afternoon.",FRIENDS,False,1,1,7,7
2_58,PHOEBE,Why?,FRIENDS,False,1,1,7,7
,,,,,,,,
2_581,JOEY,"Quack quack, quack quack, quack quack.",FRIENDS,True,0,0,8,8
2_581,CHANDLER,"We were wondering what was taking so long with the gift, but now we understand you were doing this.",FRIENDS,True,0,0,8,8
,,,,,,,,
2_583,JOEY,Look out! You almost crushed my hat,FRIENDS,True,-1,-1,1,1
2_583,ROSS,Sorry,FRIENDS,True,-1,-1,4,4
2_583,CHANDLER,And the bunny got away!,FRIENDS,True,-1,-1,8,8
,,,,,,,,
2_585,ROSS,So theoretically we could download our thoughts and our memories into this computer... ...,FRIENDS,False,1,1,7,7
2_585,PERSON,and live forever as a machine!,FRIENDS,False,1,1,7,7
2_585,ROSS,"That's so Janine, you-you-you know what, do you know we're doing right now?",FRIENDS,False,1,1,7,7
2_585,ROSS,"You and I, we're interfacing.",FRIENDS,False,1,1,7,7
,,,,,,,,
2_586,PHOEBE,"You know whats sadder than this? Bambi. I cried for three days with that movie. No wait two, cause on the thrid day my mother killed herself, so I was partly crying for that.",FRIENDS,True,-1,-1,4,4
2_586,CHANDLER,"See now that I see crying over, but Bambi, is a cartoon.",FRIENDS,True,1,1,8,8
,,,,,,,,
2_587,BLANCHE,Have you found her?,GOLDENGIRLS,True,0,0,8,8
2_587,DOROTHY,"Oh yes Blanche, about a half hour ago. But now I have hidden her again so you can find her.",GOLDENGIRLS,True,-1,1,8,8
,,,,,,,,
2_588,JOEY,"Well, why don't you tell me what you're supposed to be! Huh? Because I sure as hell can't figure it out!",FRIENDS,False,-1,-1,1,1
2_588,JOEY,I talk to you and nothin'.,FRIENDS,False,-1,-1,1,1
,,,,,,,,
2_589,MONICA,I am sorry I think I can walk the rest of the way now just give me my boots.,FRIENDS,True,-1,-1,4,4
2_589,CHANDLER,I don't have your boots,FRIENDS,True,0,0,8,8
2_589,MONICA,"Well I don't have them either, where are they?",FRIENDS,True,-1,-1,5,5
2_589,CHANDLER,Well why don't you check in one of my saddle bags while I chew on a bale of hay.,FRIENDS,True,-1,-1,1,1
,,,,,,,,
2_590,JOEY,"Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one?",FRIENDS,False,-1,-1,4,4
2_590,RACHEL,"Yeah, sure. Umm .. here.",FRIENDS,False,1,1,8,8
2_590,JOEY,Great.  You got anything that's not,FRIENDS,False,1,1,8,8
2_590,RACHEL,"Yeah, I don't think so Joe.",FRIENDS,False,-1,-1,8,8
,,,,,,,,
2_591,DOROTHY,We thought you might like to join us for dinner?,GOLDENGIRLS,False,0,0,8,8
2_591,SOPHIA,I get the feeling Dorothy that you might be a little mad at me. Why is that?,GOLDENGIRLS,False,1,1,7,7
2_591,DOROTHY,"How about stopping by new years eve with three naked women, throwing up in the pool, passing out in the punch bowl, and relieving yourself in the linen closet?",GOLDENGIRLS,False,-1,-1,1,1
,,,,,,,,
2_594,JOEY,No! He blew us off!,FRIENDS,False,-1,-1,1,1
2_594,ROSS,What?!,FRIENDS,False,-1,-1,5,5
2_594,JOEY,I know!,FRIENDS,False,-1,-1,1,1
2_594,ROSS,I can't believe it.  Can I tell you something? I'm a little mad at him now.,FRIENDS,False,-1,-1,1,1
,,,,,,,,
2_595,ROSS,"So Rachel called, wants to see me. Going over in a minute.",FRIENDS,False,1,1,7,7
2_595,JOEY,"Wow, what do you think she wants?",FRIENDS,False,0,0,8,8
2_595,ROSS,"Well, maybe the crazy fog has lifted and she realizes that life without me a sucks.",FRIENDS,False,1,1,7,7
2_595,CHANDLER,"Its possible, you are very lovable.",FRIENDS,False,1,1,8,8
2_595,CHANDLER,I'd miss you if I broke up with you. Just trying to be supportive.,FRIENDS,False,1,1,8,8
,,,,,,,,
2_596,SCOTT,I am having a bit of trouble telling when people are sarcastic.,SARCASMOHOLICS,True,-1,-1,4,4
2_596,MEMBER-BOY,Noooo. Really?,SARCASMOHOLICS,True,-1,-1,8,8
,,,,,,,,
2_598,ROSS,After the party I saw Rachel kissing that jerk from her office out on your balcony.,FRIENDS,True,-1,-1,1,1
2_598,CHANDLER,"Our balcony? Seriously? That's so funny because I told Monica we should put lights on our balcony. - And she said - ""No no, its too cold, nobody will go out there.""  - I said ""Maybe if we put some lights out there they will"".",FRIENDS,True,1,1,7,7
,,,,,,,,
2_599,DOROTHY,I am not talking to you,GOLDENGIRLS,True,-1,-1,1,1
2_599,BLANCHE,I guess you are still upset with me about last night aren't you?,GOLDENGIRLS,True,0,0,8,8
2_599,DOROTHY,No I am upset because crocodin turbs are wearing darker colors.,GOLDENGIRLS,True,-1,-1,1,1
,,,,,,,,
2_602,MONICA,You wanna hear something that sucks.,FRIENDS,False,-1,-1,4,4
2_602,CHANDLER,Do I ever.,FRIENDS,False,0,0,8,8
2_602,MONICA,Chris says they're closing down the bar.,FRIENDS,False,-1,-1,4,4
2_602,CHANDLER,No way!,FRIENDS,False,-1,-1,"5,1","5,1"
,,,,,,,,
2_604,ROSE,"Hi Dorothy, cooking?",GOLDENGIRLS,True,1,1,7,7
2_604,DOROTHY,"No Rose, I am developing pictures from the magellan space probe",GOLDENGIRLS,True,-1,-1,8,8
,,,,,,,,
2_607,CHANDLER,Okay.,FRIENDS,False,0,0,8,8
2_607,JOEY,"Listen uh, could you put Kathy on, I wanna apologize.",FRIENDS,False,-1,-1,4,4
2_607,CHANDLER,Oh yeah man.  Joey.,FRIENDS,False,0,0,8,8
2_607,PERSON,Hey.,FRIENDS,False,1,1,8,8
,,,,,,,,
2_608,CHANDLER,Did I go to this school?,FRIENDS,True,-1,-1,1,1
2_608,ROSS,"Hey, there's Missy Goldberg. You gotta remember her.",FRIENDS,True,1,1,7,7
2_608,CHANDLER,"Sure, nice.",FRIENDS,True,1,1,7,7
2_608,ROSS,Dude. You're married to my sister.,FRIENDS,True,-1,-1,8,8
2_608,CHANDLER,"You are right, by saying nice, I am virtually licking her.",FRIENDS,True,-1,1,8,8
,,,,,,,,
2_609,RACHEL,"I know. I know. I panicked, I panicked. I didn't want him to start yelling at me like I was some '74 Latour.",FRIENDS,False,-1,-1,"1,4","1,4"
2_609,PHOEBE,It's Lafite. The '74 Latour is actually drinking quite nicely.,FRIENDS,False,1,1,7,7
2_609,RACHEL,"All right here he comes. I'm gonna do this, I'm gonna tell him, I'm gonna be strong.",FRIENDS,False,-1,-1,"1,4","1,4"
2_609,PERSON,I just called a friend of mine.,FRIENDS,False,0,0,8,8
,,,,,,,,
2_611,PERSON,Why?!!,FRIENDS,True,1,1,7,7
2_611,ROSS,"Uh well umm .. we're just not in that place, y'know? But we're very excited about this.",FRIENDS,True,1,1,7,7
2_611,PERSON,Oh. Well then shut me up.,FRIENDS,True,1,1,7,7
2_611,RACHEL,Just tell me how.,FRIENDS,True,-1,1,1,7
,,,,,,,,
2_612,ROSE,Isn't she happy here?,GOLDENGIRLS,True,-1,-1,4,4
2_612,DOROTHY,I think she will be happy with Gloria,GOLDENGIRLS,True,-1,-1,4,4
2_612,ROSE,What about us? Whose gonna keep after us. Make us linguini and tell us story about Cicily.,GOLDENGIRLS,True,-1,-1,4,4
2_612,DOROTHY,"I don't know Rose, maybe Marry Poppins has an Italian cousin.",GOLDENGIRLS,True,-1,-1,9,4
,,,,,,,,
2_615,CHANDLER,"Oh, uh, I... don't... care. Ok, now, remember, no trading. You get the pretty one, I get the mess.",FRIENDS,False,-1,-1,1,1
2_615,PERSON,"Hi, Joey. Well well, look what you brought. Very nice.",FRIENDS,False,1,1,7,7
,,,,,,,,
2_617,PHOEBE,How do you feel?,FRIENDS,True,1,1,7,7
2_617,CHANDLER,"Well, let's just say that Krog will be fully equipped to destroy the universe again in twelve to fourteen hours.",FRIENDS,True,0,0,8,8
2_617,PHOEBE,"Okay, so I",FRIENDS,True,1,1,7,7
2_617,CHANDLER,And protected them from a tornado?,FRIENDS,True,0,0,5,5
,,,,,,,,
2_622,ROSS,"Maybe I should get another pair. Oh, you know they had some with uh, with  fringe all down the sides.",FRIENDS,True,1,1,2,2
2_622,CHANDLER,"Pheebs, you may know this, you know strange things. What is the boiling point of brain?",FRIENDS,True,-1,-1,1,1
,,,,,,,,
2_623,PHOEBE,Chandler?,FRIENDS,True,1,1,7,7
2_623,CHANDLER,Hey! Ah!,FRIENDS,True,1,1,7,7
2_623,MONICA,What do you think?,FRIENDS,True,1,1,7,7
2_623,CHANDLER,I think I can see your scalp!,FRIENDS,True,-1,1,8,7
2_623,CHANDLER,What do you know? Its a treat for the eyes and the ears.,FRIENDS,True,-1,1,8,7
,,,,,,,,
2_626,CHANDLER,"All right, y'know what, we've been talking about London too much haven't we?",FRIENDS,False,0,0,8,8
2_626,PHOEBE,I'm sorry. It's just 'cause I couldn't be there.,FRIENDS,False,-1,-1,1,1
2_626,PHOEBE,"Cause all I ever get to do now is pregnant stuff, it just bums me out.",FRIENDS,False,-1,-1,1,1
,,,,,,,,
2_627,PERSON,What?,FRIENDS,False,-1,-1,5,5
2_627,MONICA,"Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else. And y'know what, I get excited about stupid stuff, like when I my",FRIENDS,False,-1,-1,1,1
2_627,PERSON,"Whoa, whoa, whoa.",FRIENDS,False,1,1,8,8
,,,,,,,,
2_65,PERSON,"Nothing, nothing.",FRIENDS,False,-1,-1,4,4
2_65,PHOEBE,"Aaaah, what's wrong, c'mon.",FRIENDS,False,0,0,8,8
2_65,PERSON,"It's, I mean, it's nothing, I'm fine.",FRIENDS,False,-1,-1,4,4
2_65,PHOEBE,It's my friends.,FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_66,JOEY,What are you doing?,FRIENDS,True,0,0,8,8
2_66,CHANDLER,Key is stuck in the lock.,FRIENDS,True,0,0,8,8
2_66,JOEY,"I could fix it hold on hold on, watch out watch out.",FRIENDS,True,1,1,7,7
2_66,CHANDLER,It still doesn't work!,FRIENDS,True,1,1,7,7
2_66,JOEY,I am not finished.,FRIENDS,True,-1,-1,1,1
2_66,CHANDLER,"Nice jon Joe, you are quite the craftsman!",FRIENDS,True,-1,1,1,7
,,,,,,,,
2_69,JOEY,"You said, you wanna come in for some lemonade?",FRIENDS,False,1,1,7,7
2_69,MONICA,So?!,FRIENDS,False,-1,-1,1,1
2_69,JOEY,"Whoa, ah!! We're you just gonna give me some lemonade?",FRIENDS,False,1,1,5,5
2_69,MONICA,Yeah huh!!,FRIENDS,False,-1,-1,1,1
2_69,MONICA,Cover yourself up!,FRIENDS,False,-1,-1,1,1
,,,,,,,,
2_7,CHANDLER,You roll another hard eight and we get married here tonight.,FRIENDS,False,1,1,2,2
2_7,MONICA,Are you serious?!,FRIENDS,False,1,1,5,5
2_7,CHANDLER,Yes! I love you!,FRIENDS,False,1,1,7,7
2_7,MONICA,I've never loved anybody as much as I love you.,FRIENDS,False,1,1,7,7
,,,,,,,,
2_71,PHOEBE,"Oh so pretty, this must have cost him a fortune.",FRIENDS,True,1,1,7,7
2_71,CHANDLER,"Oh c'mon Ross, remember back in college when he fell in love with Carol and bought the ridiculosly expensive crustal duck?",FRIENDS,True,1,1,7,7
2_71,RACHEL,What did you just say?,FRIENDS,True,-1,-1,1,1
2_71,CHANDLER,Crustal duck.,FRIENDS,True,-1,-1,3,3
2_71,RACHEL,"No, no, no, the love part? Oh my god!",FRIENDS,True,-1,-1,1,1
2_71,JOEY,"ThatÕs good, just keep rubbing your head. That will turn back time",FRIENDS,True,-1,1,8,8
,,,,,,,,
2_72,ROSS,"No, come on don't start. Ouch!",FRIENDS,False,-1,-1,4,4
2_72,PERSON,What?,FRIENDS,False,0,0,5,5
2_72,ROSS,Stupid balls are in the way.,FRIENDS,False,-1,-1,6,6
2_72,ROSS,Oh well. It probably would've been the most constructive solution.,FRIENDS,False,1,1,7,7
,,,,,,,,
2_73,CHANDLER,"Okay, I am officially unpacked. Thanks for helping me man. Joey?",FRIENDS,True,1,1,7,7
2_73,CHANDLER,"Oh my god, you almost gave me a heart attack!",FRIENDS,True,-1,-1,1,1
,,,,,,,,
2_74,ROSE,"Wait donÕt leave me, what will I do if they come back?",GOLDENGIRLS,True,-1,-1,8,8
2_74,DOROTHY,Show them your slides of Hawaii,GOLDENGIRLS,True,1,1,7,7
,,,,,,,,
2_77,RACHEL,Uh-huh.,FRIENDS,False,0,0,8,8
2_77,PHOEBE,That sounds great!,FRIENDS,False,1,1,7,7
2_77,JOEY,Hey!,FRIENDS,False,0,0,8,8
2_77,MONICA,"Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.",FRIENDS,False,-1,-1,6,6
,,,,,,,,
2_78,CHANDLER,"Honey, you remember my boss Doug right?",FRIENDS,False,1,1,7,7
2_78,MONICA,"Yes, hi.",FRIENDS,False,1,1,7,7
2_78,PERSON,"Hi. So good news, the divorce is final. I signed the papers this A.M.",FRIENDS,False,1,1,7,7
2_78,CHANDLER,"I didn't know you and Carol were getting divorced, I'm sorry.",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_79,RACHEL,"Oh, great. Although I did sit down where there wasn't a chair.",FRIENDS,False,-1,-1,4,4
2_79,MONICA,"By the way, Ross dropped by a box of your stuff.",FRIENDS,False,0,0,8,8
2_79,RACHEL,"Oh, well, I guess I had that one coming.",FRIENDS,False,-1,-1,4,4
2_79,RACHEL,"I'm just gonna throw it out, it's probably just a bunch of shampoo and...",FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_8,CHANDLER,"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",FRIENDS,False,1,1,7,7
2_8,JOEY,"Hi, here's the deal. We lost a carseat on a bus today.",FRIENDS,False,0,0,8,8
2_8,JOEY,"It's white plastic, with a handle, and it fits onto a stroller.",FRIENDS,False,0,0,8,8
,,,,,,,,
2_84,RACHEL,Two week straight and she hasn't smoked since.,FRIENDS,True,1,1,7,7
2_84,MONICA,So how did you guys meet?,FRIENDS,True,0,0,8,8
2_84,PERSON1,"Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class.",FRIENDS,True,1,1,7,7
2_84,PERSON2,And he was my best student.,FRIENDS,True,1,1,7,7
2_84,PERSON1,Yes she was my best teacher.,FRIENDS,True,1,1,7,7
2_84,CHANDLER,"If that doesn't keep kids in school, what will?",FRIENDS,True,-1,-1,4,4
,,,,,,,,
2_86,PHOEBE,"See, if I am not buried with that ring then my spirit is going to wander the nether world for all eternity",FRIENDS,False,-1,-1,4,4
